"subj" "item" "TFT" "syll_len" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "IC" "SC"
"105" 10 11 0 1 0.5 18820 25348 5 2 2 0 2
"106" 10 11 186 2 0 1188 1190 757 21 3 0 1
"107" 10 11 248 5 0.5 NA NA NA NA 8 0 1
"108" 10 11 198 1 0 11321 25348 NA NA 2 21 0
"109" 10 11 0 1 0 19415 18846 284 13 1 0 0
"110" 10 12 206 3 0.5 NA NA NA NA 5 0 1
"111" 10 12 0 2 1.5 525 526 NA NA 6 0 1
"112" 10 12 0 1 0 11321 25348 14 NA 2 1 0
"113" 10 12 184 5 0 3 3 1 NA 7 0 0
"114" 10 12 0 1 0.5 18820 25348 2 NA 2 0 2
"115" 10 12 0 3 0.5 92 469 56 5 4 1 1
"116" 10 12 388 3 1 8 8 2 NA 6 0 1
"117" 10 12 0 1 0 5500 25348 1 2 2 0 2
"118" 10 12 0 3 1 9 19 6 8 6 1 1
"119" 10 12 240 3 1 3 3 2 2 6 0 2
"120" 10 12 222 4 0 10 10 2 2 5 0 1
"121" 10 12 268 2 0 5002 7193 2 NA 2 0 1
"122" 10 12 96 1 0 929 7560 9 4 2 9 0
"123" 10 12 114 3 1 48 354 3 7 6 0 0
"124" 10 12 0 1 0 19415 18846 11 57 1 0 0
"125" 10 13 0 2 0 5122 5122 NA NA 2 0 1
"126" 10 13 200 3 0.5 700 587 3 1 4 0 1
"127" 10 13 0 1 0 1349 1349 5 3 2 0 1
"128" 10 13 0 4 1.5 1693 6262 30 172 8 0 1
"129" 10 13 244 2 0.5 164 240 1 17 4 0 1
"130" 10 13 0 2 0 5002 7193 3 22 2 0 1
"131" 10 13 0 2 0 541 8126 11 182 2 0 2
"132" 10 13 158 2 3 2 25 1 1 7 0 1
"133" 10 13 192 1 0 11321 25348 1 8 2 0 2
"134" 10 13 0 2 0.5 19 19 1 1 3 0 1
"135" 10 13 0 3 0 83 126 1 1 3 0 1
"136" 10 13 0 1 0 166 1763 1 1 2 38 0
"137" 10 13 200 3 1.5 859 859 4 8 5 0 1
"138" 10 13 240 2 0 1294 1294 6 6 3 0 1
"139" 10 13 138 1 1 12692 25348 112 5 3 0 1
"140" 10 13 0 3 1.5 5 19 1 8 6 0 1
"141" 10 13 0 1 0.5 18820 25348 1 1 2 0 2
"142" 10 13 0 3 0.5 92 469 56 5 4 1 1
"143" 10 13 220 3 1 8 8 2 NA 6 0 1
"144" 10 13 0 3 2 NA NA NA NA 6 0 1
"145" 10 13 288 5 1 NA NA NA NA 8 0 1
