"subj" "expt" "item" "lang" "session" "trial" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "block" "PB" "IC" "SC"
"35" 10 "hnd1" "7" "Hindi" 1 "11" 20 0 0 0 0 0 0 0 2556 0 0 0 0 0 0 1 "को" 0 8766 25348 6 25 2 2 17 0 1
"36" 10 "hnd1" "7" "Hindi" 1 "11" 21 0 0 0 0 0 0 0 2556 0 0 0 0 0 0 2 "इस" 0 3071 8126 144 325 2 2 21 0 2
"37" 10 "hnd1" "7" "Hindi" 1 "11" 22 294 1 294 294 294 294 294 2850 0 0 0 0 0 294 5 "फ़ेसटीवल" 1 NA NA NA NA 8 2 12 0 1
"38" 10 "hnd1" "7" "Hindi" 1 "11" 23 0 0 0 0 0 0 0 2850 0 0 0 0 0 0 1 "में" 1 12692 25348 NA NA 3 2 21 0 1
"39" 10 "hnd1" "7" "Hindi" 1 "11" 24 272 1 272 272 272 272 272 3122 0 0 0 0 0 272 3 "शामिल" 1 404 403 178 4 5 2 25 0 1
"40" 10 "hnd1" "7" "Hindi" 1 "11" 25 0 0 0 0 0 0 0 3122 0 0 0 0 0 0 2 "नहीं" 0.5 2830 NA 24 NA 4 2 25 0 1
"41" 10 "hnd1" "7" "Hindi" 1 "11" 26 360 1 360 360 360 360 360 3482 0 0 0 0 0 360 3 "करना" 0 369 9800 19 NA 4 2 25 10 0
"42" 10 "hnd1" "7" "Hindi" 1 "11" 27 270 1 0 356 356 356 356 3838 0 0 0 0 0 356 3 "चाहते" 0.5 141 343 24 63 5 2 27 24 0
"43" 10 "hnd1" "7" "Hindi" 1 "11" 28 0 0 0 0 0 0 0 3838 0 0 0 0 0 0 1 "।" 0 19415 18846 11 39 1 2 27 0 0
"44" 10 "hnd1" "8" "Hindi" 1 "12" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "वह" 0 835 6262 NA NA 2 2 1 0 1
"45" 10 "hnd1" "8" "Hindi" 1 "12" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 "पहले" 0.5 700 587 4 18 4 2 2 0 1
"46" 10 "hnd1" "8" "Hindi" 1 "12" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 "अपने" 0.5 826 1621 6 6 4 2 3 0 2
"47" 10 "hnd1" "8" "Hindi" 1 "12" 4 310 1 310 310 310 310 310 310 0 0 0 0 0 310 5 "प्रधानमंत्री" 2.5 569 571 1 1 12 2 3 0 1
"48" 10 "hnd1" "8" "Hindi" 1 "12" 5 0 0 0 0 0 0 0 310 0 0 0 0 0 0 1 "को" 0 8766 25348 28 45 2 2 3 0 1
"49" 10 "hnd1" "8" "Hindi" 1 "12" 6 252 1 252 252 252 252 252 562 0 0 0 0 0 252 2 "यह" 0 1750 8126 88 325 2 2 6 0 1
